序号, 基金代码, 基金名称, 最新净值日期, 最新净值, 最新回撤, 相对于历史最大回撤,阈值区间,--,成立以来最大回撤, 最大回撤净值, 最大回撤周期,--, 历史最高日期, 历史最高日净值, 备注
1,'006567,中泰星元灵活配置混合A (006567),2022-07-21,2.3441,-6.17%,37.92%,,,-16.27%,1.2971 -> 1.0861,2020-01-13 -> 2020-03-23,,2022-04-08,2.4982,无历史分红,
3,'003834,华夏能源革新股票A (003834),2022-07-21,3.756,-12.85%,32.08%,,,-40.05%,1.226 -> 0.735,2017-09-11 -> 2018-10-16,,2021-09-15,4.31,无历史分红,
5,'162202,泰达宏利周期混合 (162202),2022-07-21,4.0723,-2.44%,4.66%,,,-52.4%,2.1251 -> 0.5731,2007-10-16 -> 2008-11-04,,2022-07-07,4.1738,有历史分红,
8,'001907,国投瑞银境煊灵活配置混合A (001907),2022-07-21,3.3388,-3.58%,14.76%,,,-24.26%,3.4629 -> 2.6229,2022-01-04 -> 2022-04-26,,2022-01-04,3.4629,无历史分红,
9,'012079,信澳新能源精选混合 (012079),2022-07-21,1.5581,-13.07%,29.23%,,,-44.72%,1.7725 -> 0.9799,2021-08-31 -> 2022-04-26,,2022-07-07,1.7924,无历史分红,
11,'000828,泰达转型机遇股票A (000828),2022-07-21,3.403,-16.29%,26.35%,,,-61.83%,1.598 -> 0.609,2015-06-03 -> 2018-10-18,,2021-10-29,4.067,有历史分红,
12,'000729,建信中小盘先锋股票A (000729),2022-07-21,4.301,-1.85%,3.48%,,,-53.18%,2.249 -> 1.053,2015-06-12 -> 2019-01-03,,2022-07-05,4.382,无历史分红,
22,'519181,万家和谐增长混合 (519181),2022-07-21,1.7147,-17.96%,27.61%,,,-65.05%,1.2218 -> 0.4273,2007-10-16 -> 2008-11-04,,2021-09-13,2.089,有历史分红,
19,'001287,安信优势增长混合A (001287),2022-07-21,3.0413,-5.17%,17.93%,,,-28.83%,1.6561 -> 1.1784,2018-01-23 -> 2019-01-03,,2022-07-04,3.2069,有历史分红,
27,'001832,易方达瑞恒灵活配置混合 (001832),2022-07-21,2.537,-17.31%,54.43%,,,-31.8%,1.044 -> 0.712,2018-06-12 -> 2018-10-29,,2021-02-10,3.068,无历史分红,
26,'001643,汇丰晋信智造先锋股票A (001643),2022-07-21,3.4745,-23.1%,54.12%,,,-42.68%,4.5181 -> 2.5896,2021-12-03 -> 2022-04-26,,2021-12-03,4.5181,无历史分红,
21,'519700,交银主题优选混合A (519700),2022-07-21,2.024,-6.31%,15.27%,,,-41.31%,2.193 -> 1.287,2015-06-12 -> 2015-07-08,,2022-01-04,2.1593,有历史分红,
42,'005774,华夏产业升级混合A (005774),2022-07-21,2.1759,-13.49%,31.26%,,,-43.15%,2.5152 -> 1.43,2021-11-30 -> 2022-04-26,,2021-11-30,2.5152,无历史分红,
